"","city","county_name"
"822","Beaumont","Riverside"
"823","San Andreas","Calaveras"
"824","Santa Monica","Los Angeles"
"825","Valley Center","San Diego"
"826","East Highlands","San Bernardino"
"827","Channel Islands Beach","Ventura"
"828","Yermo","San Bernardino"
"829","Crockett","Contra Costa"
"830","San Fernando","Los Angeles"
"831","Camarillo","Ventura"
"832","Diamond Springs","El Dorado"
"833","Susanville","Lassen"
"834","Delft Colony","Tulare"
"835","Kernville","Kern"
"836","Herald","Sacramento"
"837","Solana Beach","San Diego"
"838","Fountain Valley","Orange"
"839","Valley View Park","San Bernardino"
"840","Wrightwood","San Bernardino"
"841","Esparto","Yolo"
"842","Honcut","Butte"
"843","Crannell","Humboldt"
"844","Rancho Cordova","Sacramento"
"845","Seeley","Imperial"
"846","South San Francisco","San Mateo"
"847","Twin Peaks","San Bernardino"
"848","Del Dios","San Diego"
"849","Victor","San Joaquin"
"850","Lytton","Sonoma"
"851","Humboldt Hill","Humboldt"
"852","Wendel","Lassen"
"853","Richmond","Contra Costa"
"854","Guadalupe","Santa Barbara"
"855","Willow Creek","Humboldt"
"856","Tecate","San Diego"
"857","Buena Vista","Amador"
"858","Escalon","San Joaquin"
"859","Belvedere","Marin"
"860","Cotati","Sonoma"
"861","Barstow","San Bernardino"
"862","Downieville","Sierra"
"863","Oro Grande","San Bernardino"
"864","Mexican Colony","Kern"
"865","Squirrel Mountain Valley","Kern"
"866","Shelter Cove","Humboldt"
"867","La Palma","Orange"
"868","Ladera Ranch","Orange"
"869","Hermosa Beach","Los Angeles"
"870","Kennedy","San Joaquin"
"871","Shasta Lake","Shasta"
"872","Blackhawk","Contra Costa"
"873","Willows","Glenn"
"874","California Pines","Modoc"
"875","Greenfield","Monterey"
"876","Ocotillo","Imperial"
"877","Mi-Wuk Village","Tuolumne"
"878","Byron","Contra Costa"
"879","Capistrano Beach","Orange"
"880","Rio Oso","Sutter"
"881","Madera Acres","Madera"
"882","Redway","Humboldt"
"883","Temelec","Sonoma"
"884","Bluewater","San Bernardino"
"885","Caspar","Mendocino"
"886","Bonita","San Diego"
"887","Point Arena","Mendocino"
"888","Keeler","Inyo"
"889","Nord","Butte"
"890","East Hemet","Riverside"
"891","Pine Mountain Club","Kern"
"892","Paramount","Los Angeles"
"893","Raymond","Madera"
"894","Smiley Park","San Bernardino"
"895","La Presa","San Diego"
"896","Plumas Lake","Yuba"
"897","Lake of the Woods","Kern"
"898","Cabazon","Riverside"
"899","Mendocino","Mendocino"
"900","Mad River","Trinity"
"901","Phillipsville","Humboldt"
"902","Del Rey","Fresno"
"903","Compton","Los Angeles"
"904","Anza","Riverside"
"905","Petaluma","Sonoma"
"906","Los Olivos","Santa Barbara"
"907","Oak Park","Ventura"
"908","San Juan Bautista","San Benito"
"909","Chowchilla","Madera"
"910","Yorba Linda","Orange"
"911","Westlake Village","Los Angeles"
"912","Mount Eden","Alameda"
"913","Salton City","Imperial"
"914","Newhall","Los Angeles"
"915","Dixon","Solano"
"916","Loma Linda","San Bernardino"
"917","Geyserville","Sonoma"
"918","Bodfish","Kern"
"919","Pinole","Contra Costa"
"920","Menifee","Riverside"
"921","Hamburg","Siskiyou"
"922","Montecito","Santa Barbara"
"923","San Lorenzo","Alameda"
"924","Terminous","San Joaquin"
"925","Carmel Valley","Monterey"
"926","Oildale","Kern"
"927","San Joaquin","Fresno"
"928","Hickman","Stanislaus"
"929","Greenhorn","Plumas"
"930","Isla Vista","Santa Barbara"
"931","Home Garden","Kings"
"932","Talmage","Mendocino"
"933","Hopland","Mendocino"
"934","Oak View","Ventura"
"935","Ross","Marin"
"936","Weldon","Kern"
"937","Good Hope","Riverside"
"938","Stonyford","Colusa"
"939","Fairmead","Madera"
"940","Hawthorne","Los Angeles"
"941","Mono City","Mono"
"942","Carpinteria","Santa Barbara"
"943","Lower Lake","Lake"
"944","East Sonora","Tuolumne"
"945","Coleville","Mono"
"946","Ripon","San Joaquin"
"947","Redwood City","San Mateo"
"948","Del Rey Oaks","Monterey"
"949","La Cañada Flintridge","Los Angeles"
"950","Boulder Creek","Santa Cruz"
"951","Sierra Brooks","Sierra"
"952","Running Springs","San Bernardino"
"953","Amesti","Santa Cruz"
"954","Pineridge","Fresno"
"955","Prattville","Plumas"
"956","Phelan","San Bernardino"
"957","Eastvale","Riverside"
"958","Callender","San Luis Obispo"
"959","Gualala","Mendocino"
"960","Rancho Palos Verdes","Los Angeles"
"961","Selma","Fresno"
"962","Alhambra","Los Angeles"
"963","Springville","Tulare"
"964","Mount Hebron","Siskiyou"
"965","Escondido","San Diego"
"966","Alto","Marin"
"967","Penn Valley","Nevada"
"968","Carmel-by-the-Sea","Monterey"
"969","East Rancho Dominguez","Los Angeles"
"970","Greenbrae","Marin"
"971","Aromas","San Benito"
"972","Ventura","Ventura"
"973","Searles Valley","San Bernardino"
"974","Parkway","Sacramento"
"975","Daggett","San Bernardino"
"976","Seacliff","Santa Cruz"
"977","Woodville","Tulare"
"978","Inyokern","Kern"
"979","Woodcrest","Riverside"
"980","Morgan Hill","Santa Clara"
"981","Bermuda Dunes","Riverside"
"982","Cedarpines Park","San Bernardino"
"983","Laguna Hills","Orange"
"984","Nipomo","San Luis Obispo"
"985","Mountain Center","Riverside"
"986","Monson","Tulare"
"987","Muscoy","San Bernardino"
"988","Orosi","Tulare"
"989","Calpella","Mendocino"
"990","Westport","Mendocino"
"991","Markleeville","Alpine"
"992","Del Monte Forest","Monterey"
"993","Edgewood","Siskiyou"
"994","Yountville","Napa"
"995","Bombay Beach","Imperial"
"996","Jamacha Junction","San Diego"
"997","Cudahy","Los Angeles"
"998","Sugarloaf Saw Mill","Tulare"
"999","Allendale","Solano"
"1000","La Vina","Madera"
"1001","Rio Linda","Sacramento"
"1002","Gorman","Los Angeles"
"1003","Drytown","Amador"
"1004","East Los Angeles","Los Angeles"
"1005","Ivanhoe","Tulare"
"1006","Callahan","Siskiyou"
"1007","Colfax","Placer"
"1008","Lennox","Los Angeles"
"1009","Gridley","Butte"
"1010","Bass Lake","Madera"
"1011","Terra Linda","Marin"
"1012","Johannesburg","Kern"
"1013","Skyforest","San Bernardino"
"1014","Douglas City","Trinity"
"1015","Lucas Valley","Marin"
"1016","El Cerrito","Contra Costa"
"1017","Dublin","Alameda"
"1018","Cotton Center","Tulare"
"1019","Lake Hughes","Los Angeles"
"1020","Paxton","Plumas"
"1021","Santa Clarita","Los Angeles"
"1022","Keene","Kern"
"1023","Helm","Fresno"
"1024","Huron","Fresno"
"1025","Manteca","San Joaquin"
"1026","Randsburg","Kern"
"1027","Vineyard","Sacramento"
"1028","Highlands","San Mateo"
"1029","San Francisco","San Francisco"
"1030","Kilkare Woods","Alameda"
"1031","Valley Ranch","Plumas"
"1032","Woodside","San Mateo"
"1033","Saticoy","Ventura"
"1034","Cambria","San Luis Obispo"
"1035","Harbison Canyon","San Diego"
"1036","Alturas","Modoc"
"1037","San Quentin","Marin"
"1038","Rancho Murieta","Sacramento"
"1039","Idlewild","Tulare"
"1040","Bridgeport","Mono"
"1041","Tustin","Orange"
"1042","Somis","Ventura"
"1043","Alpine Village","Alpine"
"1044","Fulton","Sonoma"
"1045","Strathmore","Tulare"
"1046","Spring Valley","San Diego"
"1047","Rossmoor","Orange"
"1048","South Oroville","Butte"
"1049","Clyde","Contra Costa"
"1050","Shasta","Shasta"
"1051","Santa Ana","Orange"
"1052","Lookout","Modoc"
"1053","Blocksburg","Humboldt"
"1054","Robbins","Sutter"
"1055","Woodfords","Alpine"
"1056","Saugus","Los Angeles"
"1057","Diablo","Contra Costa"
"1058","North Fair Oaks","San Mateo"
"1059","Home Gardens","Riverside"
"1060","Princeton","Colusa"
"1061","Ballard","Santa Barbara"
"1062","Lakehead","Shasta"
"1063","Fairfax","Marin"
"1064","Moreno Valley","Riverside"
"1065","Garnet","Riverside"
"1066","Downey","Los Angeles"
"1067","Trabuco Canyon","Orange"
"1068","Healdsburg","Sonoma"
"1069","Oakley","Contra Costa"
"1070","Armona","Kings"
"1071","Viola","Shasta"
"1072","San Clemente","Orange"
"1073","Half Moon Bay","San Mateo"
"1074","Ingot","Shasta"
"1075","Mill Valley","Marin"
"1076","Hemet","Riverside"
"1077","Le Grand","Merced"
"1078","Alta Loma","San Bernardino"
"1079","Hanford","Kings"
"1080","Redwood Valley","Mendocino"
"1081","O'Neals","Madera"
"1082","Glendale","Los Angeles"
"1083","Day Valley","Santa Cruz"
"1084","Woodbridge","San Joaquin"
"1085","Blue Lake","Humboldt"
"1086","East Whittier","Los Angeles"
"1087","Cherryland","Alameda"
"1088","Los Berros","San Luis Obispo"
"1089","Sunol","Alameda"
"1090","Mission Canyon","Santa Barbara"
"1091","Lanare","Fresno"
"1092","Albany","Alameda"
"1093","Honeydew","Humboldt"
"1094","Potter Valley","Mendocino"
"1095","Walnut Heights","Contra Costa"
"1096","Big Bar","Trinity"
"1097","Lockeford","San Joaquin"
"1098","West Sacramento","Yolo"
"1099","Patton Village","Lassen"
"1100","Loma Rica","Yuba"
"1101","Camanche Village","Amador"
"1102","Rancho Tehama Reserve","Tehama"
"1103","Mesa Grande","San Diego"
"1104","Yankee Hill","Butte"
"1105","Monte Rio","Sonoma"
"1106","Live Oak","Sutter"
"1107","South Lake","Kern"
"1108","Berkeley","Alameda"
"1109","Marina","Monterey"
"1110","Lake of the Pines","Nevada"
"1111","Los Altos Hills","Santa Clara"
"1112","Little River","Mendocino"
"1113","Chualar","Monterey"
"1114","Artois","Glenn"
"1115","Bonsall","San Diego"
"1116","Emerald Lake Hills","San Mateo"
"1117","Sisquoc","Santa Barbara"
"1118","Almanor","Plumas"
"1119","Alta","Placer"
"1120","Dillon Beach","Marin"
"1121","Alderpoint","Humboldt"
"1122","Balance Rock","Tulare"
"1123","Samoa","Humboldt"
"1124","Salida","Stanislaus"
"1125","Bradley","Monterey"
"1126","San Luis Obispo","San Luis Obispo"
"1127","Stevinson","Merced"
"1128","Pearsonville","Inyo"
"1129","El Dorado Hills","El Dorado"
"1130","Warner Springs","San Diego"
"1131","Napa","Napa"
"1132","Baldwin Park","Los Angeles"
"1133","Forest Ranch","Butte"
"1134","Bethel Island","Contra Costa"
"1135","Citrus","Los Angeles"
"1136","Fernbrook","San Diego"
"1137","Tuttle","Merced"
"1138","Castella","Shasta"
"1139","Winters","Yolo"
"1140","Benton","Mono"
"1141","Birds Landing","Solano"
"1142","Mentone","San Bernardino"
"1143","Los Nietos","Los Angeles"
"1144","Las Cruces","Santa Barbara"
"1145","Davis","Yolo"
"1146","Westwood","Lassen"
"1147","Alondra Park","Los Angeles"
"1148","Glenn","Glenn"
"1149","La Habra","Orange"
"1150","Lafayette","Contra Costa"
"1151","Taft Heights","Kern"
"1152","Rancho Cucamonga","San Bernardino"
"1153","Elk","Mendocino"
"1154","Mission Hills","Santa Barbara"
"1155","Lake Los Angeles","Los Angeles"
"1156","Indian Wells","Riverside"
"1157","San Simeon","San Luis Obispo"
"1158","San Augustine","Santa Barbara"
"1159","Ruth","Trinity"
"1160","Shively","Humboldt"
"1161","Riverview Farms","San Diego"
"1162","Corralitos","Santa Cruz"
"1163","Raisin City","Fresno"
"1164","Castro Valley","Alameda"
"1165","Newport Beach","Orange"
"1166","Gasquet","Del Norte"
"1167","Flournoy","Tehama"
"1168","Hidden Valley Lake","Lake"
"1169","Hilmar","Merced"
"1170","Franklin","Sacramento"
"1171","Bayview","Humboldt"
"1172","Grenada","Siskiyou"
"1173","Lewiston","Trinity"
"1174","Cherry Valley","Riverside"
"1175","Bell","Los Angeles"
"1176","Niland","Imperial"
"1177","Goleta","Santa Barbara"
"1178","Lakeside","San Diego"
"1179","Tahoma","Placer"
"1180","Florence","Los Angeles"
"1181","Cressey","Merced"
"1182","Fort Bidwell","Modoc"
"1183","Grover Beach","San Luis Obispo"
"1184","Willits","Mendocino"
"1185","Linda","Yuba"
"1186","Pebble Beach","Monterey"
"1187","Culver City","Los Angeles"
"1188","Arrowhead Highlands","San Bernardino"
"1189","Ramona","San Diego"
"1190","Citrus Heights","Sacramento"
"1191","Alpaugh","Tulare"
"1192","Berry Creek","Butte"
"1193","Bowles","Fresno"
"1194","Brookdale","Santa Cruz"
"1195","Stanford","Santa Clara"
"1196","Pismo Beach","San Luis Obispo"
"1197","Riverdale","Fresno"
"1198","Edmundson Acres","Kern"
"1199","Taft","Kern"
"1200","Covina","Los Angeles"
"1201","Edna","San Luis Obispo"
"1202","Lakeland Village","Riverside"
"1203","Oakland","Alameda"
"1204","Point Reyes Station","Marin"
"1205","West Hollywood","Los Angeles"
"1206","Forest Knolls","Marin"
"1207","Marin City","Marin"
"1208","Monte Sereno","Santa Clara"
"1209","Lake City","Modoc"
"1210","Caruthers","Fresno"
"1211","Coloma","El Dorado"
"1212","Lebec","Kern"
"1213","South San Jose Hills","Los Angeles"
"1214","View Park","Los Angeles"
"1215","Albion","Mendocino"
"1216","Bodega","Sonoma"
"1217","Bryn Mawr","San Bernardino"
"1218","Crafton","San Bernardino"
"1219","Capitola","Santa Cruz"
"1220","South Taft","Kern"
"1221","Topaz","Mono"
"1222","Lake Nacimiento","San Luis Obispo"
"1223","Chico","Butte"
"1224","Brisbane","San Mateo"
"1225","Myrtletown","Humboldt"
"1226","Lakeview","Riverside"
"1227","Cantua Creek","Fresno"
"1228","Biggs","Butte"
"1229","Diamond Bar","Los Angeles"
"1230","Casitas Springs","Ventura"
"1231","Winchester","Riverside"
"1232","Garden Grove","Orange"
"1233","Bellflower","Los Angeles"
"1234","Toro Canyon","Santa Barbara"
"1235","White Pines","Calaveras"
"1236","San Mateo","San Mateo"
"1237","Dobbins","Yuba"
"1238","Mountain House","San Joaquin"
"1239","Oceanside","San Diego"
"1240","Clear Creek","Siskiyou"
"1241","San Diego","San Diego"
"1242","Bystrom","Stanislaus"
"1243","Cambrian Park","Santa Clara"
"1244","Palos Verdes Estates","Los Angeles"
"1245","Sea Ranch","Sonoma"
"1246","San Jose","Santa Clara"
"1247","Penryn","Placer"
"1248","Freedom","Santa Cruz"
"1249","Clay","Sacramento"
"1250","Pescadero","San Mateo"
"1251","Yolo","Yolo"
"1252","Pala","San Diego"
"1253","Calpine","Sierra"
"1254","South Lake Tahoe","El Dorado"
"1255","Carlsbad","San Diego"
"1256","Cardiff-by-the-Sea","San Diego"
"1257","Redlands","San Bernardino"
"1258","Prunedale","Monterey"
"1259","Clovis","Fresno"
"1260","Manila","Humboldt"
"1261","Mortmar","Riverside"
"1262","Nice","Lake"
"1263","Leucadia","San Diego"
"1264","Mountain Ranch","Calaveras"
"1265","Camino Tassajara","Contra Costa"
"1266","Mountain View","Santa Clara"
"1267","Cedar Glen","San Bernardino"
"1268","Lathrop","San Joaquin"
"1269","Crestline","San Bernardino"
"1270","Garden Acres","San Joaquin"
"1271","California Hot Springs","Tulare"
"1272","Truckee","Nevada"
"1273","Monterey","Monterey"
"1274","Requa","Del Norte"
"1275","Pioneer","Amador"
"1276","Sugarloaf Village","Tulare"
"1277","Fuller Acres","Kern"
"1278","Oxnard","Ventura"
"1279","Amboy","San Bernardino"
"1280","Elderwood","Tulare"
"1281","Desert Center","Riverside"
"1282","Dogtown","San Joaquin"
"1283","Kentfield","Marin"
"1284","Broadmoor","San Mateo"
"1285","Manton","Tehama"
"1286","Camino","El Dorado"
"1287","Clayton","Contra Costa"
"1288","Lodoga","Colusa"
"1289","French Gulch","Shasta"
"1290","Winton","Merced"
"1291","Boyes Hot Springs","Sonoma"
"1292","Woodlake","Tulare"
"1293","Bostonia","San Diego"
"1294","Philo","Mendocino"
"1295","Chinese Camp","Tuolumne"
"1296","Villa Park","Orange"
"1297","Oakville","Napa"
"1298","River Pines","Amador"
"1299","Ono","Shasta"
"1300","Gazelle","Siskiyou"
"1301","Hamilton City","Glenn"
"1302","Grangeville","Kings"
"1303","Mead Valley","Riverside"
"1304","Korbel","Humboldt"
"1305","Redondo Beach","Los Angeles"
"1306","Gonzales","Monterey"
"1307","Orland","Glenn"
"1308","Twin Lakes","Santa Cruz"
"1309","Pico Rivera","Los Angeles"
"1310","San Lucas","Monterey"
"1311","Stanton","Orange"
"1312","Thousand Oaks","Ventura"
"1313","Clearlake Oaks","Lake"
"1314","Doyle","Lassen"
"1315","Colton","San Bernardino"
"1316","Bear Creek","Merced"
"1317","Ballico","Merced"
"1318","Shafter","Kern"
"1319","Cerritos","Los Angeles"
"1320","Loyalton","Sierra"
"1321","Little Valley","Lassen"
"1322","Mountain View Acres","San Bernardino"
"1323","Shingle Springs","El Dorado"
"1324","Montclair","San Bernardino"
"1325","Smith Corner","Kern"
"1326","Vandenberg Village","Santa Barbara"
"1327","Lexington Hills","Santa Clara"
"1328","Montpelier","Stanislaus"
"1329","Ford City","Kern"
"1330","Russell City","Alameda"
"1331","Johnstonville","Lassen"
"1332","Pine Cove","Riverside"
"1333","Port Hueneme","Ventura"
"1334","Harmony","San Luis Obispo"
"1335","Somes Bar","Siskiyou"
"1336","Isleton","Sacramento"
"1337","Paynes Creek","Tehama"
"1338","Scotia","Humboldt"
"1339","Claremont","Los Angeles"
"1340","Fort Dick","Del Norte"
"1341","Chino","San Bernardino"
"1342","Alpine","San Diego"
"1343","Orange Cove","Fresno"
"1344","Valinda","Los Angeles"
"1345","Castroville","Monterey"
"1346","Coulterville","Mariposa"
"1347","Grass Valley","Nevada"
"1348","Casa de Oro","San Diego"
"1349","Quartz Hill","Los Angeles"
"1350","Kingvale","Nevada"
"1351","Mohawk Vista","Plumas"
"1352","Pine Grove","Amador"
"1353","North Richmond","Contra Costa"
"1354","Ben Lomond","Santa Cruz"
"1355","Forest Meadows","Calaveras"
"1356","Calwa","Fresno"
"1357","Snelling","Merced"
"1358","Loma Mar","San Mateo"
"1359","Top of the World","Orange"
"1360","Placentia","Orange"
"1361","Garberville","Humboldt"
"1362","Placerville","El Dorado"
"1363","Dos Palos Y","Merced"
"1364","Dunlap Acres","San Bernardino"
"1365","Palermo","Butte"
"1366","Lincoln","Placer"
"1367","Yettem","Tulare"
"1368","Atwood","Orange"
"1369","Daphnedale Park","Modoc"
"1370","Myers Flat","Humboldt"
"1371","Anderson","Shasta"
"1372","Auburn","Placer"
"1373","Lawndale","Los Angeles"
"1374","Verdemont","San Bernardino"
"1375","Los Trancos Woods","San Mateo"
"1376","Felton","Santa Cruz"
"1377","Westminster","Orange"
"1378","Calavo Gardens","San Diego"
"1379","Nubieber","Lassen"
"1380","Grossmont","San Diego"
"1381","Patterson","Stanislaus"
"1382","Nuevo","Riverside"
"1383","Grand Terrace","San Bernardino"
"1384","Las Lomas","Monterey"
"1385","Mokelumne Hill","Calaveras"
"1386","Derby Acres","Kern"
"1387","Lompico","Santa Cruz"
"1388","Big Sur","Monterey"
"1389","Sheridan","Placer"
"1390","Blue Canyon","Placer"
"1391","Toms Place","Mono"
"1392","Bangor","Butte"
"1393","San Geronimo","Marin"
"1394","Piru","Ventura"
"1395","Piercy","Mendocino"
"1396","Lindsay","Tulare"
"1397","Kings Beach","Placer"
"1398","Beverly Hills","Los Angeles"
"1399","Union City","Alameda"
"1400","Poso Park","Tulare"
"1401","Cottonwood","Shasta"
"1402","Bend","Tehama"
"1403","Angiola","Tulare"
"1404","Salyer","Trinity"
"1405","Bishop","Inyo"
"1406","Shoshone","Inyo"
"1407","Tonyville","Tulare"
"1408","Flinn Springs","San Diego"
"1409","La Verne","Los Angeles"
"1410","Klamath","Del Norte"
"1411","Kenwood","Sonoma"
"1412","Yucca Valley","San Bernardino"
"1413","Worth","Tulare"
"1414","Independence","Inyo"
"1415","Moss Landing","Monterey"
"1416","North Highlands","Sacramento"
"1417","Midpines","Mariposa"
"1418","Big Bear City","San Bernardino"
"1419","Lost Hills","Kern"
"1420","Lucerne Valley","San Bernardino"
"1421","Needles","San Bernardino"
"1422","Live Oak Springs","San Diego"
"1423","Coffee Creek","Trinity"
"1424","Stirling City","Butte"
"1425","Keswick","Shasta"
"1426","Carrick","Siskiyou"
"1427","King City","Monterey"
"1428","Rimforest","San Bernardino"
"1429","Lincoln Acres","San Diego"
"1430","Bodega Bay","Sonoma"
"1431","Orick","Humboldt"
"1432","Rancho San Diego","San Diego"
"1433","El Nido","Merced"
"1434","Hydesville","Humboldt"
"1435","Lemon Heights","Orange"
"1436","East San Gabriel","Los Angeles"
"1437","Agua Dulce","Los Angeles"
"1438","Visalia","Tulare"
"1439","Camden","Fresno"
"1440","Tara Hills","Contra Costa"
"1441","Ridgemark","San Benito"
"1442","Castaic","Los Angeles"
"1443","San Luis Rey","San Diego"
"1444","San Leandro","Alameda"
"1445","Larkspur","Marin"
"1446","Banning","Riverside"
"1447","Delleker","Plumas"
"1448","Mountain Gate","Shasta"
"1449","Linden","San Joaquin"
"1450","Poway","San Diego"
"1451","Taylorsville","Plumas"
"1452","Bolinas","Marin"
"1453","Tres Pinos","San Benito"
"1454","Westley","Stanislaus"
"1455","Los Angeles","Los Angeles"
"1456","Richvale","Butte"
"1457","Santa Paula","Ventura"
"1458","Lake Almanor Country Club","Plumas"
"1459","Campo","San Diego"
"1460","Big Creek","Fresno"
"1461","Moreno","Riverside"
"1462","Round Valley","Inyo"
"1463","Sky Valley","Riverside"
"1464","Dinuba","Tulare"
"1465","Berenda","Madera"
"1466","Modesto","Stanislaus"
"1467","East Quincy","Plumas"
"1468","La Mirada","Los Angeles"
"1469","Ione","Amador"
"1470","Rio Vista","Solano"
"1471","Alum Rock","Santa Clara"
"1472","Santa Clara","Santa Clara"
"1473","Pajaro","Monterey"
"1474","Blue Jay","San Bernardino"
"1475","Cutten","Humboldt"
"1476","Monmouth","Fresno"
"1477","Inverness","Marin"
"1478","Penngrove","Sonoma"
"1479","El Verano","Sonoma"
"1480","Dana Point","Orange"
"1481","Squaw Valley","Fresno"
"1482","Perris","Riverside"
"1483","Paicines","San Benito"
"1484","Rohnert Park","Sonoma"
"1485","Altadena","Los Angeles"
"1486","Twain Harte","Tuolumne"
"1487","Midway City","Orange"
"1488","Livingston","Merced"
"1489","Lindcove","Tulare"
"1490","Antelope","Sacramento"
"1491","Foothill Farms","Sacramento"
"1492","Glamis","Imperial"
"1493","East Pasadena","Los Angeles"
"1494","Martinez","Contra Costa"
"1495","Shaver Lake","Fresno"
"1496","Alleghany","Sierra"
"1497","Inglewood","Los Angeles"
"1498","Imperial","Imperial"
"1499","Fort Irwin","San Bernardino"
"1500","Lone Pine","Inyo"
"1501","Smith River","Del Norte"
"1502","San Ramon","Contra Costa"
"1503","Canyon Lake","Riverside"
"1504","Coalinga","Fresno"
"1505","Tipton","Tulare"
"1506","Carmet","Sonoma"
"1507","Tehachapi","Kern"
"1508","Solvang","Santa Barbara"
"1509","Cedar Ridge","Tuolumne"
"1510","Platina","Shasta"
"1511","Dos Palos","Merced"
"1512","Grimes","Colusa"
"1513","Arden Town","Sacramento"
"1514","La Puente","Los Angeles"
"1515","Romoland","Riverside"
"1516","Volta","Merced"
"1517","Weimar","Placer"
"1518","Jenner","Sonoma"
"1519","Farmersville","Tulare"
"1520","Graton","Sonoma"
"1521","Bloomington","San Bernardino"
"1522","Plumas Eureka","Plumas"
"1523","South El Monte","Los Angeles"
"1524","Milford","Lassen"
"1525","Corcoran","Kings"
"1526","Laton","Fresno"
"1527","Fruitdale","Santa Clara"
"1528","Littlerock","Los Angeles"
"1529","Coarsegold","Madera"
"1530","Verdi","Sierra"
"1531","Fiddletown","Amador"
"1532","Lincoln Village","San Joaquin"
"1533","Agoura Hills","Los Angeles"
"1534","Tomales","Marin"
"1535","Collierville","San Joaquin"
"1536","Ducor","Tulare"
"1537","Buck Meadows","Mariposa"
"1538","Volcano","Amador"
"1539","City Terrace","Los Angeles"
"1540","Soledad","Monterey"
"1541","Durham","Butte"
"1542","Betteravia","Santa Barbara"
"1543","Trinity Village","Trinity"
"1544","Lemoncove","Tulare"
"1545","Cobb","Lake"
"1546","Portola","Plumas"
"1547","Sierra City","Sierra"
"1548","Acton","Los Angeles"
"1549","Seville","Tulare"
"1550","Meridian","Sutter"
"1551","Roseland","Sonoma"
"1552","Newell","Modoc"
"1553","Calimesa","Riverside"
"1554","Clipper Mills","Butte"
"1555","Baker","San Bernardino"
"1556","Atascadero","San Luis Obispo"
"1557","Herlong","Lassen"
"1558","Chester","Plumas"
"1559","Wawona","Mariposa"
"1560","Brownsville","Yuba"
"1561","Galt","Sacramento"
"1562","Belltown","Riverside"
"1563","Joshua Tree","San Bernardino"
"1564","Arroyo Grande","San Luis Obispo"
"1565","California City","Kern"
"1566","Danville","Contra Costa"
"1567","Happy Camp","Siskiyou"
"1568","Oroville","Butte"
"1569","Huntington Beach","Orange"
"1570","Opal Cliffs","Santa Cruz"
"1571","Altaville","Calaveras"
"1572","Tobin","Plumas"
"1573","Wallace","Calaveras"
"1574","Cornell","Los Angeles"
"1575","Greenville","Plumas"
"1576","San Pablo","Contra Costa"
"1577","Seal Beach","Orange"
"1578","Tulare","Tulare"
"1579","Summerland","Santa Barbara"
"1580","Anchor Bay","Mendocino"
"1581","Auburn Lake Trails","El Dorado"
"1582","Rancho Mirage","Riverside"
"1583","McFarland","Kern"
"1584","Etna","Siskiyou"
"1585","Arbuckle","Colusa"
"1586","Las Flores","Tehama"
"1587","Lake Forest","Orange"
"1588","Rosedale","Kern"
"1589","Mira Monte","Ventura"
"1590","Highland","San Bernardino"
"1591","Pilot Hill","El Dorado"
"1592","Hayfork","Trinity"
"1593","Sonoma","Sonoma"
"1594","Trabuco Highlands","Orange"
"1595","Kingsburg","Fresno"
"1596","Rancho Rinconada","Santa Clara"
"1597","Silver City","Tulare"
"1598","Los Molinos","Tehama"
"1599","Tehama","Tehama"
"1600","Otay","San Diego"
"1601","Avenal","Kings"
"1602","Kaweah","Tulare"
"1603","Fellows","Kern"
"1604","East Foothills","Santa Clara"
"1605","Morro Bay","San Luis Obispo"
"1606","Darwin","Inyo"
"1607","Stallion Springs","Kern"
"1608","New Cuyama","Santa Barbara"
"1609","Likely","Modoc"
"1610","Sespe","Ventura"
"1611","Boron","Kern"
"1612","Hayward","Alameda"
"1613","French Camp","San Joaquin"
"1614","Ferndale","Humboldt"
"1615","Rowland Heights","Los Angeles"
"1616","Yuba City","Sutter"
"1617","Lynwood Hills","San Diego"
"1618","West Bishop","Inyo"
"1619","Guinda","Yolo"
"1620","Novato","Marin"
"1621","Sierraville","Sierra"
"1622","Olancha","Inyo"
"1623","La Mesa","San Diego"
"1624","Montebello","Los Angeles"
"1625","Canyondam","Plumas"
